Entity,Code,Year,Patent applications per million people
Armenia,ARM,2009,37.834312
Armenia,ARM,2010,44.666317
Armenia,ARM,2011,39.96169
Armenia,ARM,2012,45.302734
Armenia,ARM,2013,41.363335
Armenia,ARM,2014,40.14865
Armenia,ARM,2015,37.609
Armenia,ARM,2016,41.773888
Armenia,ARM,2017,35.913273
Armenia,ARM,2018,34.01819
Armenia,ARM,2019,37.80591
Armenia,ARM,2020,21.273003
Armenia,ARM,2021,13.503021
Aruba,ABW,2002,10.860829
Australia,AUS,1980,27.02151
Australia,AUS,1981,30.690346
Australia,AUS,1982,24.301502
Australia,AUS,1983,28.97332
Australia,AUS,1984,36.265858
Australia,AUS,1985,44.27326
Australia,AUS,1986,60.368263
Australia,AUS,1987,69.54063
Australia,AUS,1988,85.772194
Australia,AUS,1989,98.07061
Australia,AUS,1990,100.32154
Australia,AUS,1991,99.340225
Australia,AUS,1992,96.97553
Australia,AUS,1993,94.30213
Australia,AUS,1994,95.42013
Australia,AUS,1995,99.084236
Australia,AUS,1996,98.60208
Australia,AUS,1997,95.53257
Australia,AUS,1998,100.06673
Australia,AUS,1999,98.76536
Australia,AUS,2000,101.32009
Australia,AUS,2001,113.4648
Australia,AUS,2002,121.26056
Australia,AUS,2003,122.61205
Australia,AUS,2004,128.38187
Australia,AUS,2005,126.63031
Australia,AUS,2006,138.72205
Australia,AUS,2007,130.49977
Australia,AUS,2008,132.75795
Australia,AUS,2009,114.9751
Australia,AUS,2010,109.3422
Australia,AUS,2011,106.66953
Australia,AUS,2012,115.55652
Australia,AUS,2013,132.34966
Australia,AUS,2014,84.683365
Australia,AUS,2015,96.195854
Australia,AUS,2016,108.30516
Australia,AUS,2017,101.77863
Australia,AUS,2018,110.442314
Australia,AUS,2019,104.085976
Australia,AUS,2020,92.322395
Australia,AUS,2021,115.474106
Austria,AUT,1980,308.23508
Austria,AUT,1981,315.77377
Austria,AUT,1982,294.81894
Austria,AUT,1983,310.10684
Austria,AUT,1984,307.34912
Austria,AUT,1985,299.9345
Austria,AUT,1986,291.94983
Austria,AUT,1987,296.9139
Austria,AUT,1988,291.61603
Austria,AUT,1989,276.26242
Austria,AUT,1990,263.7457
Austria,AUT,1991,267.70203
Austria,AUT,1992,270.0011
Austria,AUT,1993,277.01767
Austria,AUT,1994,250.62631
Austria,AUT,1995,217.40558
Austria,AUT,1996,239.85374
Austria,AUT,1997,239.7076
Austria,AUT,1998,245.3368
Austria,AUT,1999,253.74347
Austria,AUT,2000,244.77112
Austria,AUT,2001,225.6819
Austria,AUT,2002,239.05101
Austria,AUT,2003,261.038
Austria,AUT,2004,275.0868
Austria,AUT,2005,275.89294
Austria,AUT,2006,274.65216
Austria,AUT,2007,287.50574
Austria,AUT,2008,276.15228
Austria,AUT,2009,271.23486
Austria,AUT,2010,289.83414
Austria,AUT,2011,256.68393
Austria,AUT,2012,267.85318
Austria,AUT,2013,254.95815
Austria,AUT,2014,244.78268
Austria,AUT,2015,255.12863
Austria,AUT,2016,237.84811
Austria,AUT,2017,235.63336
Austria,AUT,2018,230.64252
Austria,AUT,2019,232.65976
Austria,AUT,2020,238.20033
Austria,AUT,2021,209.02663
Azerbaijan,AZE,1995,28.757881
Azerbaijan,AZE,1996,21.25467
Azerbaijan,AZE,2001,25.027122
Azerbaijan,AZE,2002,28.634537
Azerbaijan,AZE,2003,29.875761
Azerbaijan,AZE,2004,32.504665
Azerbaijan,AZE,2005,33.48487
Azerbaijan,AZE,2006,28.993877
Azerbaijan,AZE,2007,33.444817
Azerbaijan,AZE,2008,25.789078
Azerbaijan,AZE,2009,29.506296
Azerbaijan,AZE,2010,28.05287
Azerbaijan,AZE,2011,21.03982
Azerbaijan,AZE,2012,15.490893
Azerbaijan,AZE,2013,16.566135
Azerbaijan,AZE,2014,17.619152
Azerbaijan,AZE,2015,19.068659
Azerbaijan,AZE,2016,14.757406
Azerbaijan,AZE,2017,20.702183
Azerbaijan,AZE,2018,15.593921
Azerbaijan,AZE,2019,14.664391
Azerbaijan,AZE,2020,8.916965
Azerbaijan,AZE,2021,11.738305
Bahamas,BHS,1981,8.452585
Bahamas,BHS,1982,12.468102
Bahamas,BHS,1984,12.054826
Bahamas,BHS,1985,11.850494
Bahamas,BHS,1986,3.8829522
Bahamas,BHS,1988,15.01231
Bahamas,BHS,1990,7.2478213
Bahamas,BHS,1991,3.5621288
Bahamas,BHS,1992,6.9947925
Bahamas,BHS,2012,7.9900074
Bahamas,BHS,2013,2.6388497
Bahamas,BHS,2014,2.6157606
Bahamas,BHS,2015,5.1901407
Bahamas,BHS,2016,7.730863
Bahamas,BHS,2017,10.243671
Bahrain,BHR,1981,2.6772041
Bahrain,BHR,2011,0.83680606
Bahrain,BHR,2012,2.4814634
Bahrain,BHR,2013,2.393889
Bahrain,BHR,2014,4.564258
Bahrain,BHR,2015,5.8380437
Bahrain,BHR,2016,4.214294
Bahrain,BHR,2017,5.329368
Bahrain,BHR,2018,7.318253
Bahrain,BHR,2019,2.695861
Bahrain,BHR,2020,4.754776
Bahrain,BHR,2021,1.9941969
Bangladesh,BGD,1980,0.3862915
Bangladesh,BGD,1981,0.43187883
Bangladesh,BGD,1982,0.43096712
Bangladesh,BGD,1983,0.4195724
Bangladesh,BGD,1984,0.63384986
Bangladesh,BGD,1985,0.39898726
Bangladesh,BGD,1986,0.15589137
Bangladesh,BGD,1987,0.21913257
Bangladesh,BGD,1988,0.22384717
Bangladesh,BGD,1989,0.29241422
Bangladesh,BGD,1990,0.28665176
Bangladesh,BGD,1991,0.3163803
Bangladesh,BGD,1992,0.6209456
Bangladesh,BGD,1993,0.3047429
Bangladesh,BGD,1994,0.3240732
Bangladesh,BGD,1995,0.57096076
Bangladesh,BGD,1996,0.17619427
Bangladesh,BGD,1997,0.36164072
Bangladesh,BGD,1998,0.24687104
Bangladesh,BGD,1999,0.37090847
Bangladesh,BGD,2000,0.5202747
Bangladesh,BGD,2001,0.43126824
Bangladesh,BGD,2002,0.30950025
Bangladesh,BGD,2003,0.41143402
Bangladesh,BGD,2004,0.33589253
Bangladesh,BGD,2005,0.34550482
Bangladesh,BGD,2006,0.1502671
Bangladesh,BGD,2007,0.19596015
Bangladesh,BGD,2008,0.40140688
Bangladesh,BGD,2009,0.3645433
Bangladesh,BGD,2010,0.4336343
Bangladesh,BGD,2011,0.24089941
Bangladesh,BGD,2012,0.43206266
Bangladesh,BGD,2013,0.38330787
Bangladesh,BGD,2014,0.27854285
Bangladesh,BGD,2015,0.2572417
Bangladesh,BGD,2016,0.4788202
Bangladesh,BGD,2017,0.37611103
Bangladesh,BGD,2018,0.4219587
Bangladesh,BGD,2019,0.4123385
Bangladesh,BGD,2020,0.24053203
Bangladesh,BGD,2021,0.44137245
Barbados,BRB,1984,11.768398
Barbados,BRB,2003,7.525134
Barbados,BRB,2007,11.058358
Barbados,BRB,2008,3.666845
Barbados,BRB,2013,10.804386
Barbados,BRB,2014,3.5926251
Barbados,BRB,2020,102.94713
Barbados,BRB,2021,258.73038
Belarus,BLR,1993,80.866875
Belarus,BLR,1994,66.784294
Belarus,BLR,1995,61.213493
Belarus,BLR,1996,68.703705
Belarus,BLR,1997,74.327156
Belarus,BLR,1998,90.349815
Belarus,BLR,1999,99.0352
Belarus,BLR,2000,99.60309
Belarus,BLR,2001,93.66927
Belarus,BLR,2002,90.71974
Belarus,BLR,2003,110.4448
Belarus,BLR,2004,109.45365
Belarus,BLR,2005,120.65504
Belarus,BLR,2006,123.68656
Belarus,BLR,2007,146.95187
Belarus,BLR,2008,158.48051
Belarus,BLR,2009,184.43733
Belarus,BLR,2010,185.47348
Belarus,BLR,2011,182.31506
Belarus,BLR,2012,177.94318
Belarus,BLR,2013,157.67941
Belarus,BLR,2014,69.005554
Belarus,BLR,2015,57.393047
Belarus,BLR,2016,48.049614
Belarus,BLR,2017,45.882282
Belarus,BLR,2018,47.993465
Belarus,BLR,2019,31.635632
Belarus,BLR,2020,33.795483
Belarus,BLR,2021,29.669172
Belgium,BEL,1980,87.73494
Belgium,BEL,1981,81.75286
Belgium,BEL,1982,92.73254
Belgium,BEL,1983,81.680115
Belgium,BEL,1984,88.17526
Belgium,BEL,1985,78.208145
Belgium,BEL,1986,80.5125
Belgium,BEL,1987,55.520466
Belgium,BEL,1988,64.23163
Belgium,BEL,1989,68.52695
Belgium,BEL,1990,64.51044
Belgium,BEL,1991,62.471973
Belgium,BEL,1992,67.196556
Belgium,BEL,1993,80.22232
Belgium,BEL,1994,73.54974
Belgium,BEL,1995,72.21206
Belgium,BEL,1996,76.403244
Belgium,BEL,1997,77.79009
Belgium,BEL,1998,67.62711
Belgium,BEL,1999,57.791492
Belgium,BEL,2000,56.28582
Belgium,BEL,2001,55.50927
Belgium,BEL,2002,58.164375
Belgium,BEL,2003,50.018635
Belgium,BEL,2004,49.322834
Belgium,BEL,2005,49.338573
Belgium,BEL,2006,46.45449
Belgium,BEL,2007,42.726597
Belgium,BEL,2008,53.68828
Belgium,BEL,2009,61.964565
Belgium,BEL,2010,56.903778
Belgium,BEL,2011,57.617756
Belgium,BEL,2012,67.97557
Belgium,BEL,2013,64.0715
Belgium,BEL,2014,79.31087
Belgium,BEL,2015,84.174515
Belgium,BEL,2016,93.015686
Belgium,BEL,2017,87.99878
Belgium,BEL,2018,78.06036
Belgium,BEL,2019,76.24698
Belgium,BEL,2020,74.70574
Belgium,BEL,2021,68.96138
Belize,BLZ,2006,3.4736936
Bhutan,BTN,2012,4.1824727
Bhutan,BTN,2013,4.1363735
Bhutan,BTN,2015,1.3502238
Bhutan,BTN,2016,5.3485518
Bhutan,BTN,2018,1.3162068
Bhutan,BTN,2019,1.3074903
Bolivia,BOL,1980,1.3891542
Bolivia,BOL,1981,2.0380058
Bolivia,BOL,1982,2.9909832
Bolivia,BOL,1983,1.7888913
Bolivia,BOL,1984,0.63675326
Bolivia,BOL,1985,0.7792793
Bolivia,BOL,1993,3.4304435
Bolivia,BOL,1994,3.6235063
Bolivia,BOL,1995,2.158819
Bolivia,BOL,2014,0.8295781
Bolivia,BOL,2016,1.0733434
Bolivia,BOL,2017,5.2007184
Bolivia,BOL,2020,0.6770309
Bolivia,BOL,2021,0.41885307
Bosnia and Herzegovina,BIH,1999,5.568596
Bosnia and Herzegovina,BIH,2000,7.4523335
Bosnia and Herzegovina,BIH,2001,12.441864
Bosnia and Herzegovina,BIH,2003,7.6582084
Bosnia and Herzegovina,BIH,2004,12.074416
Bosnia and Herzegovina,BIH,2005,16.111341
Bosnia and Herzegovina,BIH,2006,13.53589
Bosnia and Herzegovina,BIH,2008,14.946002
Bosnia and Herzegovina,BIH,2010,14.692486
Bosnia and Herzegovina,BIH,2011,11.491801
Bosnia and Herzegovina,BIH,2012,0.5449423
Bosnia and Herzegovina,BIH,2013,1.9385968
Bosnia and Herzegovina,BIH,2014,11.501253
Bosnia and Herzegovina,BIH,2016,17.276115
Bosnia and Herzegovina,BIH,2017,25.374182
Bosnia and Herzegovina,BIH,2018,24.800709
Bosnia and Herzegovina,BIH,2019,13.450771
Bosnia and Herzegovina,BIH,2020,15.154505
Bosnia and Herzegovina,BIH,2021,16.333288
Botswana,BWA,2011,0.4822682
Botswana,BWA,2012,2.3712225
Botswana,BWA,2013,3.7371268
Botswana,BWA,2014,1.8415834
Botswana,BWA,2015,1.3616107
Botswana,BWA,2016,0.44747216
Botswana,BWA,2017,1.3234825
Botswana,BWA,2019,0.8576024
Botswana,BWA,2020,0.8453464
Botswana,BWA,2021,1.2492499
Brazil,BRA,1980,17.72993
Brazil,BRA,1981,17.499159
Brazil,BRA,1982,16.671505
Brazil,BRA,1983,17.736332
Brazil,BRA,1984,15.543628
Brazil,BRA,1985,14.419004
Brazil,BRA,1986,13.409344
Brazil,BRA,1987,17.37005
Brazil,BRA,1988,16.255713
Brazil,BRA,1989,15.856334
Brazil,BRA,1990,16.01816
Brazil,BRA,1991,15.284307
Brazil,BRA,1992,13.612049
Brazil,BRA,1993,15.491608
Brazil,BRA,1994,14.2466955
Brazil,BRA,1995,16.737247
Brazil,BRA,1996,15.901093
Brazil,BRA,1997,16.536497
Brazil,BRA,1998,14.725734
Brazil,BRA,1999,16.406284
Brazil,BRA,2000,18.268196
Brazil,BRA,2001,19.50639
Brazil,BRA,2002,19.50102
Brazil,BRA,2003,21.403734
Brazil,BRA,2004,22.13766
Brazil,BRA,2005,21.950521
Brazil,BRA,2006,21.194397
Brazil,BRA,2007,22.243162
Brazil,BRA,2008,22.482853
Brazil,BRA,2009,22.235533
Brazil,BRA,2010,21.82735
Brazil,BRA,2011,24.041819
Brazil,BRA,2012,24.370657
Brazil,BRA,2013,24.9851
Brazil,BRA,2014,23.28509
Brazil,BRA,2015,23.01221
Brazil,BRA,2016,25.58827
Brazil,BRA,2017,26.770433
Brazil,BRA,2018,24.162176
Brazil,BRA,2019,26.338184
Brazil,BRA,2020,25.30422
Brazil,BRA,2021,22.266731
Brunei,BRN,2012,49.31489
Brunei,BRN,2013,48.637897
Brunei,BRN,2014,62.387524
Brunei,BRN,2016,37.4213
Brunei,BRN,2017,18.485485
Brunei,BRN,2018,59.386494
Brunei,BRN,2019,18.071745
Brunei,BRN,2020,11.175582
Brunei,BRN,2021,4.4275117
Bulgaria,BGR,1980,372.05743
Bulgaria,BGR,1981,413.10895
Bulgaria,BGR,1982,406.84244
Bulgaria,BGR,1983,426.29886
Bulgaria,BGR,1984,428.87375
Bulgaria,BGR,1985,0.22320066
Bulgaria,BGR,1986,0.11162993
Bulgaria,BGR,1987,0.3343975
Bulgaria,BGR,1988,0.66804385
Bulgaria,BGR,1989,7.0970144
Bulgaria,BGR,1990,22.710878
Bulgaria,BGR,1991,48.88578
Bulgaria,BGR,1992,38.52385
Bulgaria,BGR,1993,48.628986
Bulgaria,BGR,1994,37.780132
Bulgaria,BGR,1995,43.777905
Bulgaria,BGR,1996,37.78627
Bulgaria,BGR,1997,47.40096
Bulgaria,BGR,1998,33.184826
Bulgaria,BGR,1999,34.345745
Bulgaria,BGR,2000,28.273579
Bulgaria,BGR,2001,35.33462
Bulgaria,BGR,2002,36.8756
Bulgaria,BGR,2003,35.754124
Bulgaria,BGR,2004,34.08122
Bulgaria,BGR,2005,34.07768
Bulgaria,BGR,2006,31.969385
Bulgaria,BGR,2007,27.964287
Bulgaria,BGR,2008,33.232964
Bulgaria,BGR,2009,32.50747
Bulgaria,BGR,2010,32.85738
Bulgaria,BGR,2011,35.65437
Bulgaria,BGR,2012,33.534595
Bulgaria,BGR,2013,39.38545
Bulgaria,BGR,2014,30.818941
Bulgaria,BGR,2015,40.090347
Bulgaria,BGR,2016,33.36167
Bulgaria,BGR,2017,29.69074
Bulgaria,BGR,2018,26.822443
Bulgaria,BGR,2019,28.110579
Bulgaria,BGR,2020,36.484673
Bulgaria,BGR,2021,25.356134
Burkina Faso,BFA,1998,0.17792544
Burkina Faso,BFA,1999,0.3455745
Burkina Faso,BFA,2000,0.1677072
Burkina Faso,BFA,2003,0.0764378
Burkina Faso,BFA,2004,0.1481423
Burkina Faso,BFA,2005,0.07177657
Burkina Faso,BFA,2010,0.12363616
Burundi,BDI,1989,0.18275836
Burundi,BDI,1996,0.1647309
Burundi,BDI,2017,0.26071626
Burundi,BDI,2018,0.16864194
Burundi,BDI,2020,0.15851584
Cambodia,KHM,2013,0.06591868
Cambodia,KHM,2014,0.12989736
Cambodia,KHM,2016,0.18924098
Cambodia,KHM,2018,0.061445735
Canada,CAN,1980,67.22232
Canada,CAN,1981,87.18805
Canada,CAN,1982,79.627525
Canada,CAN,1983,79.51447
Canada,CAN,1984,79.11883
Canada,CAN,1985,80.953125
Canada,CAN,1986,82.79605
Canada,CAN,1987,95.55103
Canada,CAN,1988,103.4647
Canada,CAN,1989,111.12015
Canada,CAN,1990,92.05111
Canada,CAN,1991,77.82456
Canada,CAN,1992,98.93813
Canada,CAN,1993,126.303986
Canada,CAN,1994,85.51529
Canada,CAN,1995,82.96274
Canada,CAN,1996,87.2334
Canada,CAN,1997,111.81722
Canada,CAN,1998,126.31332
Canada,CAN,1999,133.57988
Canada,CAN,2000,136.44778
Canada,CAN,2001,127.75276
Canada,CAN,2002,126.24685
Canada,CAN,2003,124.168594
Canada,CAN,2004,163.78195
Canada,CAN,2005,160.7494
Canada,CAN,2006,169.53632
Canada,CAN,2007,151.96623
Canada,CAN,2008,152.2229
Canada,CAN,2009,150.66873
Canada,CAN,2010,133.80031
Canada,CAN,2011,138.44228
Canada,CAN,2012,135.65369
Canada,CAN,2013,130.18446
Canada,CAN,2014,118.473564
Canada,CAN,2015,119.788826
Canada,CAN,2016,112.93019
Canada,CAN,2017,110.90414
Canada,CAN,2018,117.310295
Canada,CAN,2019,112.65735
Canada,CAN,2020,117.069664
Canada,CAN,2021,123.16989
Cape Verde,CPV,2016,3.9020278
Cape Verde,CPV,2017,3.8994489
Cape Verde,CPV,2018,5.8432264
Cape Verde,CPV,2020,1.9429586
Cape Verde,CPV,2021,1.9355501
Chile,CHL,1980,12.164868
Chile,CHL,1981,7.877578
Chile,CHL,1982,8.10112
Chile,CHL,1983,7.9826126
Chile,CHL,1984,8.601106
Chile,CHL,1985,9.842461
Chile,CHL,1986,7.625757
Chile,CHL,1987,8.443998
Chile,CHL,1988,8.53884
Chile,CHL,1989,10.21566
Chile,CHL,1990,12.577047
Chile,CHL,1991,11.052157
Chile,CHL,1992,12.81998
Chile,CHL,1993,10.991134
Chile,CHL,1994,15.297296
Chile,CHL,1995,11.770876
Chile,CHL,1996,11.945124
Chile,CHL,1997,10.781899
Chile,CHL,1998,13.683418
Chile,CHL,1999,13.3165245
Chile,CHL,2000,15.544742
Chile,CHL,2001,15.684925
Chile,CHL,2002,24.65644
Chile,CHL,2003,20.530739
Chile,CHL,2004,23.598715
Chile,CHL,2005,22.081161
Chile,CHL,2006,17.626541
Chile,CHL,2007,24.172873
Chile,CHL,2008,31.533962
Chile,CHL,2009,20.164928
Chile,CHL,2010,19.09034
Chile,CHL,2011,19.53686
Chile,CHL,2012,19.179047
Chile,CHL,2013,19.223152
Chile,CHL,2014,25.302008
Chile,CHL,2015,24.546165
Chile,CHL,2016,21.130745
Chile,CHL,2017,22.900105
Chile,CHL,2018,21.489223
Chile,CHL,2019,22.815182
Chile,CHL,2020,19.204338
Chile,CHL,2021,20.661652
China,CHN,1985,3.8675978
China,CHN,1986,3.2752464
China,CHN,1987,3.6668558
China,CHN,1988,4.339025
China,CHN,1989,4.2452955
China,CHN,1990,5.1374884
China,CHN,1991,6.40609
China,CHN,1992,8.602797
China,CHN,1993,10.254234
China,CHN,1994,9.389723
China,CHN,1995,8.308884
China,CHN,1996,9.550326
China,CHN,1997,10.301811
China,CHN,1998,11.072238
China,CHN,1999,12.473508
China,CHN,2000,20.073734
China,CHN,2001,23.617565
China,CHN,2002,31.088722
China,CHN,2003,44.061626
China,CHN,2004,50.757866
China,CHN,2005,71.706345
China,CHN,2006,93.29987
China,CHN,2007,116.14063
China,CHN,2008,146.89032
China,CHN,2009,172.0896
China,CHN,2010,219.08119
China,CHN,2011,309.1585
China,CHN,2012,395.30124
China,CHN,2013,517.1034
China,CHN,2014,583.97723
China,CHN,2015,701.70306
China,CHN,2016,868.2733
China,CHN,2017,892.2043
China,CHN,2018,993.6233
China,CHN,2019,883.3759
China,CHN,2020,953.0274
China,CHN,2021,1010.1136
Colombia,COL,1980,1.6472257
Colombia,COL,1981,1.4599488
Colombia,COL,1983,2.9298089
Colombia,COL,1984,2.4089916
Colombia,COL,1985,2.459985
Colombia,COL,1986,2.710924
Colombia,COL,1987,1.7049478
Colombia,COL,1988,2.7304392
Colombia,COL,1989,2.8323014
Colombia,COL,1991,2.5681021
Colombia,COL,1992,3.5544422
Colombia,COL,1993,4.0067973
Colombia,COL,1994,3.530007
Colombia,COL,1995,3.9380348
Colombia,COL,1996,2.385997
Colombia,COL,1997,2.1551056
Colombia,COL,1998,4.2601423
Colombia,COL,1999,1.7683069
Colombia,COL,2000,1.9186525
Colombia,COL,2001,1.6368977
Colombia,COL,2002,1.3391303
Colombia,COL,2003,2.003057
Colombia,COL,2004,1.8294222
Colombia,COL,2005,2.3499265
Colombia,COL,2006,3.3262215
Colombia,COL,2007,2.9605389
Colombia,COL,2008,2.8794203
Colombia,COL,2009,2.891248
Colombia,COL,2010,2.9702537
Colombia,COL,2011,4.0433397
Colombia,COL,2012,4.6592197
Colombia,COL,2013,5.4386
Colombia,COL,2014,5.5835414
Colombia,COL,2015,6.8341584
Colombia,COL,2016,11.488798
Colombia,COL,2017,12.362075
Colombia,COL,2018,8.465161
Colombia,COL,2019,8.455561
Colombia,COL,2020,7.2881694
Colombia,COL,2021,8.439449
Congo,COG,1986,2.357821
Congo,COG,1988,8.453262
Costa Rica,CRI,1980,12.548978
Costa Rica,CRI,1981,16.689482
Costa Rica,CRI,1982,15.446732
Costa Rica,CRI,1983,6.16534
Costa Rica,CRI,1984,8.996868
Costa Rica,CRI,1985,5.8353825
Costa Rica,CRI,1986,3.904564
Costa Rica,CRI,1987,3.456979
Costa Rica,CRI,1988,3.3691554
Costa Rica,CRI,1989,4.2709394
Costa Rica,CRI,1990,4.805065
Costa Rica,CRI,1991,19.674122
Costa Rica,CRI,1992,5.48069
Costa Rica,CRI,1993,8.017975
Costa Rica,CRI,1994,9.2723465
Costa Rica,CRI,1995,7.0717835
Costa Rica,CRI,1996,6.355324
Costa Rica,CRI,1997,6.7536335
Costa Rica,CRI,1998,5.8157396
Costa Rica,CRI,1999,8.026719
Costa Rica,CRI,2000,7.1106796
Costa Rica,CRI,2001,5.238283
Costa Rica,CRI,2002,5.6431956
Costa Rica,CRI,2003,7.9733562
Costa Rica,CRI,2004,6.190361
Costa Rica,CRI,2005,3.989449
Costa Rica,CRI,2006,5.0910134
Costa Rica,CRI,2007,4.5659513
Costa Rica,CRI,2008,5.4053373
Costa Rica,CRI,2009,3.5557208
Costa Rica,CRI,2010,1.7559409
Costa Rica,CRI,2011,2.8200588
Costa Rica,CRI,2012,1.9297014
Costa Rica,CRI,2013,3.816675
Costa Rica,CRI,2014,3.1465545
Costa Rica,CRI,2015,3.528407
Costa Rica,CRI,2016,1.8491892
Costa Rica,CRI,2017,3.8671515
Costa Rica,CRI,2018,1.6136131
Costa Rica,CRI,2019,3.2002861
Costa Rica,CRI,2020,2.3836386
Costa Rica,CRI,2021,2.964434
Cote d'Ivoire,CIV,2012,1.1079351
Croatia,HRV,1992,104.68074
Croatia,HRV,1993,109.33682
Croatia,HRV,1994,59.543976
Croatia,HRV,1995,57.358936
Croatia,HRV,1996,56.834427
Croatia,HRV,1997,60.19952
Croatia,HRV,1998,58.912632
Croatia,HRV,1999,54.514065
Croatia,HRV,2000,75.42015
Croatia,HRV,2001,84.193054
Croatia,HRV,2002,76.240524
Croatia,HRV,2003,89.92892
Croatia,HRV,2004,89.4392
Croatia,HRV,2005,84.2199
Croatia,HRV,2006,73.53011
Croatia,HRV,2007,79.81036
Croatia,HRV,2008,76.571365
Croatia,HRV,2009,58.06957
Croatia,HRV,2010,59.83107
Croatia,HRV,2011,53.73051
Croatia,HRV,2012,50.934566
Croatia,HRV,2013,54.323154
Croatia,HRV,2014,40.460796
Croatia,HRV,2015,40.70597
Croatia,HRV,2016,42.611557
Croatia,HRV,2017,36.62091
Croatia,HRV,2018,30.335129
Croatia,HRV,2019,49.374714
Croatia,HRV,2020,29.891119
Croatia,HRV,2021,19.850574
Cuba,CUB,1980,13.156827
Cuba,CUB,1981,12.3866415
Cuba,CUB,1982,18.4612
Cuba,CUB,1983,16.61491
Cuba,CUB,1984,21.244282
Cuba,CUB,1992,0.09271449
Cuba,CUB,1993,0.09224215
Cuba,CUB,1994,11.115172
Cuba,CUB,1995,9.519135
Cuba,CUB,1996,7.5716043
Cuba,CUB,1997,9.910953
Cuba,CUB,1999,9.934765
Cuba,CUB,2005,9.322929
Cuba,CUB,2006,8.334405
Cuba,CUB,2007,6.556057
Cuba,CUB,2008,6.1106496
Cuba,CUB,2009,5.22368
Cuba,CUB,2011,5.485963
Cuba,CUB,2012,3.3618872
Cuba,CUB,2013,2.3897681
