,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Share Of Nominal Gross Value Added, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,Goods Producing Industries (Per Cent),Goods Producing Industries -> Manufacturing (Per Cent),Goods Producing Industries -> Construction (Per Cent),Goods Producing Industries -> Utilities (Per Cent),Goods Producing Industries -> Other Goods Industries (Per Cent),Services Producing Industries (Per Cent),Services Producing Industries -> Wholesale & Retail Trade (Per Cent),Services Producing Industries -> Wholesale & Retail Trade -> Wholesale Trade (Per Cent),Services Producing Industries -> Wholesale & Retail Trade -> Retail Trade (Per Cent),Services Producing Industries -> Transportation & Storage (Per Cent),Services Producing Industries -> Accommodation & Food Services (Per Cent),Services Producing Industries -> Accommodation & Food Services -> Accommodation (Per Cent),Services Producing Industries -> Accommodation & Food Services -> Food & Beverage Services (Per Cent),Services Producing Industries -> Information & Communications (Per Cent),Services Producing Industries -> Finance & Insurance (Per Cent),"Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services (Per Cent)","Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Real Estate (Per Cent)","Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Professional Services (Per Cent)","Services Producing Industries -> Real Estate, Professional Services And Administrative & Support Services -> Administrative & Support Services (Per Cent)",Services Producing Industries -> Other Services (Per Cent),Services Producing Industries -> Other Services -> Public Administration & Defence (Per Cent),Services Producing Industries -> Other Services -> Education (Per Cent),Services Producing Industries -> Other Services -> Health & Social Services (Per Cent),"Services Producing Industries -> Other Services -> Arts, Entertainment & Recreation (Per Cent)",Services Producing Industries -> Other Services -> Other Services - Others (Per Cent),Ownership Of Dwellings (Per Cent)
  1969,29,17.1,5.9,3,3,68.4,26.1,na,na,9.5,3.5,na,na,2,5.5,9,na,na,na,12.8,na,na,na,na,na,2.6
  1968,28.3,15.9,6,3.3,3.2,69.1,25.7,na,na,9.6,3.7,na,na,2.1,5.1,9,na,na,na,13.9,na,na,na,na,na,2.6
  1967,27.4,15.2,5.6,3.3,3.2,69.9,26.2,na,na,9.5,3.7,na,na,2,4.6,9.2,na,na,na,14.7,na,na,na,na,na,2.7
  1966,27,14.9,5.6,3,3.5,70.1,25.1,na,na,9.8,3.6,na,na,2,4.7,8.9,na,na,na,15.9,na,na,na,na,na,2.9
  1965,26.7,14.3,6.3,2.9,3.3,70.3,23.6,na,na,10.4,3.7,na,na,2.1,4.6,9.3,na,na,na,16.5,na,na,na,na,na,3
  1964,25.9,13.5,5.8,3.1,3.5,71,24.4,na,na,10.4,3.9,na,na,2.2,4.5,8.8,na,na,na,16.8,na,na,na,na,na,3.1
  1963,23.1,12.2,4.8,2.7,3.4,74,29.7,na,na,10.7,3.6,na,na,2.1,4,8.1,na,na,na,15.8,na,na,na,na,na,2.9
  1962,22.3,11.3,4.3,2.9,3.8,74.5,28.5,na,na,11.7,3.8,na,na,2.3,4.1,8.3,na,na,na,15.9,na,na,na,na,na,3.2
  1961,21.5,10.9,4.2,2.7,3.7,75.2,29.4,na,na,12.3,3.9,na,na,2.3,3.9,7.3,na,na,na,16.2,na,na,na,na,na,3.3
  1960,21.2,11.2,3.3,2.8,3.9,75.4,29.5,na,na,12.6,4,na,na,2.5,3.5,7.2,na,na,na,16.2,na,na,na,na,na,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,
Goods Producing Industries -> Other Goods Industries (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other goods industries comprise agriculture, fishing and quarrying.",,,,,,,,,,,,,,,,,,,,,,,,,,
Services Producing Industries -> Other Services -> Other Services - Others (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comprise Activities of membership organisations, Repair of computers, personal, household goods & vehicles, Other personal services and Activities of households as employers of domestic personnel.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Added:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross value added is derived by the output or income approach. 
The output approach measures value added as output less intermediate consumption. Output refers to the value of goods and services produced  while intermediate consumption is value of goods and services consumed as inputs by a process of production, e.g. materials, utilities, fuel, rental paid for premises and equipment, banking and financial charges and other operating costs.
The income approach derives value added as the sum of incomes generated from the domestic production of goods and services, which comprise gross operating surplus, remuneration and taxes (less subsidies) on production. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 21/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,
