"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Manufacturing at current prices","Kyrgyz Republic","Kyrgyzstani Som","11831400000","13033500000","9834200000","11133400000","14459500000","12968000000","12509000000","14074900000","24850700000","28630500000","37356500000","52245200000","37479300000","56023200000","54799700000","60487100000","73518200000","79522700000","81219800000","89740200000","84167200000","92425900000","139260800000","154878400000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistical Committee of the Kyrgyz Republic",""
"Manufacturing at current prices","Lao People's Democratic Republic","Lao Kip","1084449450000","1267581470000","1495076000000","1739308000000","2107517000000","2341282000000","2784121000000","3399432000000","3998754000000","7217137000000","5440923000000","6246070000000","7331644390000","7918107470000","9000550470000","9603067090000","10046096200000","10533560240000","11359756170000","12433304250000","14466025290000","15501123590000","19594236530000","26572528840000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Lao Statistics Bureau (formerly Department of Statistics)",""
"Manufacturing at current prices","Malaysia","Malaysian Ringgit","109998000000","103434000000","112076000000","125332000000","144007000000","149754000000","164510000000","173804000000","189105000000","169661000000","192493000000","212618000000","224730000000","232659000000","253087000000","262379411000","272395854000","299797483000","311675695000","323861646000","315360117000","362300562000","419061855000","420108882000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Department of Statistics",""
"Manufacturing at current prices","Maldives","Maldivian Rufiyaa","...","593000000","608000000","713600000","766600000","699100000","737700000","767300000","945100000","772600000","757900000","1045400000","1163900000","1072600000","1128800000","1223400000","1408600000","1618700000","1823900000","1877200000","1533800000","1724500000","1901000000","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Bureau of Statistics (formerly Ministry of National Planning, Housing & Infrastructure)","For 2001–2022: Data are at basic prices."
"Manufacturing at current prices","Marshall Islands","US Dollar","2730400","3835680","4425430","4741200","5557290","2599820","3553130","4569610","3227880","4129160","7559250","7388100","6764940","9745680","11393190","5796750","9146580","8823790","8143350","11433600","7768290","5869400","6434460","6636540","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","Economic Policy, Planning, and Statistics Office (formerly Office of Planning and Statistics)",""
"Manufacturing at current prices","Micronesia, Federated States of","US Dollar","3623260.0978129","4384274.1542156","4135261.3010717","3876982.0877579","3219853.8754425","1269934.8623434","832325.47752142","867457.05667856","961399.89342335","1030165.8224208","1127006.0325433","1228787.7588446","1190044.4932037","1044752.0336034","1037882.9884433","1158942.029129","1801186.714754","2000175.7161561","1909617.252045","2157117.2047509","2015780.2836565","1960080.4942062","1726646.0888861","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","FSM Statistics Division",""
"Manufacturing at current prices","Mongolia","Mongolian Tugrik","82040776430","114828107800","99138586520","121551453000","130576259200","175155907000","218885568700","309500424800","430179369900","425000645000","664815260000","931377510000","1248666300000","1672313000000","1950933700000","1606184690000","1595623611000","1932245540000","2298123563000","2675065055000","2904937700000","3096438702000","3832703059000","4760710923000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","2000–2009: 2005. 2010–2014: 2010. 2015–2023: 2015.","National Statistics Office of Mongolia",""
"Manufacturing at current prices","Myanmar","Myanmar Kyat","182897000000","277795000000","516243000000","756183000000","1051644000000","1572907000000","2358092000000","3473910000000","4917323000000","6127552000000","7900494000000","9132523000000","10299192000000","11553545000000","13007190000000","15130437000000","15817986700000","19014676100000","22477601000000","26062338000000","28801451600000","27717545200000","...","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","Central Statistical Organization",""
"Manufacturing at current prices","Nauru","Australian Dollar","...","...","...","...","3086000","1249000","-69000","1995000","13685000","20283000","11432000","23295000","46262000","33473000","20569000","-29000","...","...","...","...","...","...","...","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Nauru Bureau of Statistics (Ministry of Finance)","For 2004–2015: Data were taken from the national accounts tables published on the Nauru Bureau of Statistics website."
"Manufacturing at current prices","Nepal","Nepalese Rupee","33550000000","38408957060","37735972550","38825581750","41673302420","44884688460","47840300700","52172000000","57185000000","65446939990","70923969250","84149722200","101726153700","112092528100","125293586600","129811423600","127493001100","149416125600","169565272000","192230356200","174013826100","207444183900","239723296800","249694221300","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 15 July","","Central Bureau of Statistics","For 2000–2009 and 2011–2023: Estimates of GDP are based on the 2008 SNA where industrial classification is based on the International Standard Industrial Classification of all economic activities, Revision 4 (ISIC Rev.4). For 2010: Estimates of GDP by industrial origin are based on the 1993 System of National Accounts (SNA) framework."
"Manufacturing at current prices","New Zealand","New Zealand Dollar","18580000000","19552000000","21023000000","21268000000","22499000000","23666000000","22894000000","23011000000","23508000000","20926000000","22049000000","23314000000","23071000000","23829000000","26866000000","28809000000","27381000000","29638000000","30456000000","31257000000","30808000000","31596000000","...","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","Stats NZ Tatauranga Aotearoa","For 2000–2019: Combined to refer to food, beverage, and tobacco product manufacturing; textile, leather, clothing, and footwear manufacturing; wood and paper products manufacturing; printing; petroleum, chemical, polymer, and rubber product manufacturing; nonmetallic mineral product manufacturing; metal product manufacturing; transport equipment, machinery, and equipment manufacturing; furniture and other manufacturing."
"Manufacturing at current prices","Niue","New Zealand Dollar","292000","276000","219000","256000","309000","315000","329000","364000","376000","220609.7418","228530.1717","258161.0154","207844.2465","219565.1722","263790.275","268668.7282","280449.5664","296911.342","314784.6333","...","...","...","...","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Niue Statistics Office","For 2000–2018: Includes mining and quarrying. For 2009–2018: A new methodology was used."
"Manufacturing at current prices","Pakistan","Pakistan Rupee","468087000000","537590000000","565261000000","629065000000","795645000000","1013842000000","1222202000000","1393587000000","1676541000000","1844016000000","2151777000000","2640236000000","3069947000000","3335808000000","3749598000000","3742822000000","3668778000000","4017236000000","4547093000000","5513025000000","5427248000000","6663895000000","9171475000000","11412854000000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Pakistan Bureau of Statistics (formerly Federal Bureau of Statistics)","For 2000–2015: Data are revised due to 2015/2016 rebasing of national accounts. For 2016–2023: Data are revised due to 2015/2016 rebasing of national accounts."
"Manufacturing at current prices","Palau","US Dollar","4097735.109","5245183.051","7462557.619","2910398.661","1444972.297","1525099.999","1453622.576","1439259.977","1821250.099","1597864.027","1493939.865","1689982.088","2093042.284","2325990.949","2442471.506","2666259.027","2823337.396","2834391.969","2920319.528","2923304.094","2663492.838","2451578.922","2669184.137","3153503.458","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 September","","Bureau of Budget and Planning (formerly Office of Planning and Statistics)",""
"Manufacturing at current prices","Papua New Guinea","Papua New Guinea Kina","697700000","731100000","729300000","820800000","848300000","928100000","596713479.9","681568614","791918012.6","829829255.8","945682244.5","1069834894","1094322258","1164645872","1215873761","1068743410","1256148758","1410790205","1369146659","1417841135","1390563699","1558959208","1812539467","1979300000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","2000–2022: National Statistical Office. 2023: Departments of Treasury (formerly Department of Finance and Treasury).","For 2006–2022: Compiled using new data sources and methods and are not comparable with estimates prior to 2006. For 2023: Data are taken from the 2024 National Budget Volume 1 of the Department of Treasury of PNG, which provides estimates or projections based on the actual National Accounts data from the NSO."
"Manufacturing at current prices","Philippines","Philippine Peso","934726133600","1018637585000","1093530978000","1171756198000","1278375758000","1436118566000","1560911038000","1666459311000","1873174430000","1823961366000","2060284572000","2201830463000","2359065565000","2462478070000","2717316005000","2778794816000","2964479411000","3228580415000","3488331181000","3614016234000","3169921003000","3424048835000","3795335308000","3943986516000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Philippine Statistics Authority","For 2000–2023: Data are based on the 2018 base year, following the revision and rebasing of the National Accounts of the Philippines series."
"Manufacturing at current prices","Samoa","Western Samoa Tala","115341000","139536000","148688000","174089000","172759000","184832000","166063000","239098934.4","206935248.2","131033460.5","134809739.8","144189656.4","134982771.3","133556610.2","130176678.8","132855384.5","138364160.7","125350331.6","98307192.86","108530562.3","100247072.7","107691166.7","119237631.9","128836645.20233","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Samoa Bureau of Statistics (formerly Statistical Services Division)","For 2000–2006: Includes mining and quarrying, which are minimal. For 2007–2008: Includes mining and quarrying, which are minimal. For 2007–2023: The overall system for estimating GDP at current and constant prices underwent methodological changes. These include: (i) update of base year for constant price estimates to 2013; (ii) incorporation of latest benchmarks; (iii) upgrade of the International Standard Industrial Classification (ISIC) classification from ISIC Revision 3.1 to ISIC Revision 4; (iv) increased reliance on summary data from the value-added goods and services tax system; and (v) incorporation of more detailed data on industry level. For a full explanation, see the national accounts report available on the Samoa Bureau of Statistics website at http://www.sbs.gov.ws. For 2009–2023: Includes mining and quarrying, which are minimal. Refers to food and beverages manufacturing and other manufacturing."
"Manufacturing at current prices","Singapore","Singapore Dollars","42835000000","37638700000","40989800000","42130400000","52729000000","57598500000","62766300000","64963800000","56392700000","57250900000","67926300000","68806800000","70497200000","67885000000","71809700000","76598200000","77025100000","88016200000","105377200000","99559900000","94642700000","118301500000","135544200000","118832700000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Singapore Department of Statistics",""
"Manufacturing at current prices","Solomon Islands","Solomon Islands Dollars","...","...","...","190365256.6","216006479","244077828.1","301658954.8","396843033.2","456991852.6","538629368.7","637346991.6","755083431.5","807975335.1","811601974.1","972710931","815588920.9","861397710.7","1198227597","1306806103","1369946167","1221496637","1182600000","1048500000","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistics Office","For 2003–2011: No rebalancing had been carried out on estimates from 2003 to 2011, and therefore the GDP series by industry structure for this period do not add up. For 2003–2020: There are changes in basic concepts in line with the changing of the base year to 2012 and a closer consistency with the System of National Accounts 2008. Improvements to methodologies, data sources, concepts, and revisions to benchmark estimates have been implemented. For 2021–2022: SINSO reflected revisions to 2020 and past years arising from methodological improvements and the population census to the current revised GDP estimates. Any methodological changes made for the current measures have been chained to 2020 levels to avoid distorting the growth rates."
"Manufacturing at current prices","Sri Lanka","Sri Lankan Rupee","224063000000","253012000000","302365000000","338832000000","391421000000","478611000000","564987000000","661983200000","791898291000","875561760000","1223616715000","1394530134000","1774303081000","1795333448000","1848658819000","1871186906000","2052466766000","2142458268000","2307822170000","2571341223000","2548143275000","3164083241000","4729259693000","4950993301000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Department of Census and Statistics",""
"Manufacturing at current prices","Taipei,China","New Taiwan Dollar","2609701000000","2387088000000","2705103000000","2934113000000","3203799000000","3286616000000","3413111000000","3692393000000","3494577000000","3353669000000","4021323000000","4031893000000","4120261000000","4445009000000","5056638000000","5348932000000","5655706000000","5873213000000","5929411000000","5846418000000","6407654000000","7427687000000","7770896000000","7671126000000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Directorate-General of Budget, Accounting, and Statistics",""
"Manufacturing at current prices","Tajikistan","Tajikistani Somoni","592300000","858000000","1117200000","1440200000","1644400000","1645100000","1986900000","2349400000","2515800000","2957400000","3642700000","2905800000","3425000000","3525800000","3476100000","5471300000","6234000000","8251000000","9400400000","10626300000","13119200000","15160300000","17893500000","11253006000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Statistical Agency under President of the Republic of Tajikistan","For 2000–2010: Includes mining and quarrying; electricity, gas, steam, and air-conditioning supply; and water supply; sewerage, waste management, and remediation services. For 2000–2014: Based on the 1993 System of National Accounts. For 2015–2023: Based on the 2008 System of National Accounts."
"Manufacturing at current prices","Thailand","Thai Baht","1438584000000","1487342000000","1645197000000","1868691000000","2045878000000","2255014000000","2534313000000","2776209000000","2965926000000","2845650000000","3343011000000","3278536000000","3456693000000","3563122000000","3648058000000","3762150000000","3960437000000","4184233000000","4373783000000","4327276000000","4002295000000","4398057000000","4701012000000","4464127000000","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Economic and Social Development Council",""
"Manufacturing at current prices","Timor-Leste","US Dollar","9300632.938","11928853.44","12087914.74","12867054.85","11007686.91","11315924.33","11365894.29","11213143.98","10919395.12","10069101.74","8900172.657","9489715.938","9214803.241","10095732.38","11241867.79","15485448.35","18056169.26","24759285.73","26328049.22","37173962.11","33029133.65","27265939.74","41409166.7","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Institute of Statistics Timor-Leste","For 2019–2020: Oil revenue from the Joint Petroleum Development Area is now included in GDP based on the new Timor-Leste Australia Maritime Boundary Treaty."
"Manufacturing at current prices","Tonga","Tongan Pa'anga","29785516.02","29698774.43","31361856.38","34971687.2","36181481.92","37185010.28","40833320.06","42196681.25","43881637.44","42592596.69","42514049.99","44269914.72","46689383.71","48292908.85","49706357.59","51172690.03","56300794.78","60642429.12","62193030.36","60124648.05","62791599.48","55460825.56","58486198.37","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Tonga Department of Statistics (formerly Tonga Statistics Department)",""
"Manufacturing at current prices","Turkmenistan","Turkmenistan Manat","1693342515","2332073231","2783541952","3645237473","4410618303","5166343487","6259542707","7993639097","23478411290","27547103720","29862759420","41779000000","51169000000","53763000000","57877000000","50650000000","...","...","...","...","...","...","...","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","2000–2010: United Nations Statistics Division. 2011–2015: State Statistics Committee of Turkmenistan (formerly NISSI).","For 2011–2015: Includes mining and quarrying; electricity, gas, steam, and air-conditioning supply; and water supply; sewerage, waste management, and remediation activities."
"Manufacturing at current prices","Tuvalu","Australian Dollar","178992.64","194752.91","249797.08","344810.41","276519.48","236122.34","269199.87","250525.14","380208.59","370211.66","380813.13","390144.31","421135.43","325477.94","363855.93","421088.88","713279.925","664341.7446","809441.7323","993576.2619","169518.8354","13854.73562","82298.84579","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Central Statistics Division",""
"Manufacturing at current prices","Uzbekistan","Uzbekistani Sum","462422800000","696229300000","1079273000000","1553300000000","2146700000000","3370900000000","4597200000000","5906500000000","9148200000000","11651100000000","8036644500000","10576269700000","13442102200000","17806380700000","23705594300000","28353875500000","34875353700000","43861855700000","67897114300000","93452110300000","1.160431127E+14","1.445233721E+14","1.754323595E+14","2.078343698E+14","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Statistics Agency under the President of the Republic of Uzbekistan","For 2000–2009: Includes mining and quarrying; electricity, gas, steam, and air-conditioning supply; and water supply; sewerage, waste management, and remediation activities. For 2010–2023: Data may not be comparable with data prior to 2010 due to improvements in methodology in accordance with international standards."
"Manufacturing at current prices","Vanuatu","Vanuatu Vatu","1641500000","1636400000","1537000000","1577000000","1646000000","1639000000","1756000000","1645000000","1531000000","1862000000","3242000000","2986000000","2604000000","2448000000","2621000000","2258000000","2125000000","2755000000","2798000000","3143000000","2716000000","2951000000","...","...","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Vanuatu Bureau of Statistics",""
"Manufacturing at current prices","Viet Nam","Vietnamese Dong","81979000000000","95210965530000","1.10285E+14","1.25476076E+14","1.45475E+14","1.72045E+14","2.05739E+14","2.41629E+14","3.00256E+14","3.31093E+14","4.6935077E+14","6.6175056E+14","8.2591833E+14","9.2548543E+14","1.00573404E+15","1.08810621E+15","1.21180877E+15","1.42412959E+15","1.63781464E+15","1.83328988E+15","1.9264086E+15","2.07598329E+15","2.34703899E+15","2.441252268E+15","...","Manufacturing represents the economic activities of Section C Manufacturing (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","General Statistics Office","For 2000–2009: GDP data are based on unreassessed/unreevaluated scale. For 2010–2023: GDP data are based on the reevaluated scale."
"Financial and insurance activities at current prices","Afghanistan","Afghan Afghani","...","...","1260210314","2367609514","3325773101","4414118511","5636775594","7182884769","9146432285","12416921780","16158937340","9608500374","10518517980","9865213982","20830990050","21117876920","35287217890","29365017510","25078360970","27142302780","21959467383.306","25016386130","18548910230","18298692360","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Beginning 21 March","","2002–2015: National Statistics and Information Authority. 2016–2023: Asian Development Bank.","For 2016–2023: There are changes in basic concepts in line with the changing of the base year to 2016 producer's prices and the adoption of the System of National Accounts 2008."
"Financial and insurance activities at current prices","Armenia","Armenian Dram","19254000000","22065200000","20693100000","23508700000","31409400000","39262700000","55203200000","80068500000","122399800000","123523800000","126256500000","151910100000","170434200000","182900300000","206610000000","196289500000","221916900000","272755800000","330363200000","395158000000","430476100000","416143500000","698227200000","701219600000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","Statistical Committee of the Republic of Armenia","For 2000–2011: Estimates are based on the 1993 System of National Accounts. For 2012–2023: Estimates are based on the 2008 System of National Accounts."
"Financial and insurance activities at current prices","Australia","Australian Dollar","52180000000","54764000000","56336000000","58533000000","62046000000","67312000000","74018000000","84072000000","89709000000","98270000000","101282000000","106397000000","110551000000","116082000000","120337000000","128545000000","132343000000","136552000000","141465000000","146198000000","147422000000","153717000000","161035000000","178743000000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Australian Bureau of Statistics",""
"Financial and insurance activities at current prices","Azerbaijan","Azerbaijan Manat","43800000","65100000","62600000","85200000","116000000","173300000","248400000","428600000","709300000","760400000","492800000","714900000","1080300000","1262000000","1536700000","1580700000","1549100000","1561700000","1385300000","1502200000","1485400000","1742000000","2152000000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","State Statistical Committee of the Republic of Azerbaijan","For 2000–2009: Estimates are based on the 1993 System of National Accounts (SNA). For 2010–2022: Transition to the 2008 SNA began, although a global revision of the GDP and sectoral accounts series according to the 2008 SNA has yet to be fully implemented."
"Financial and insurance activities at current prices","Bangladesh","Bangladeshi Taka","36500000000","39100000000","42100000000","47200000000","52000000000","59300000000","142158970000","162650710000","187021350000","200027250000","234478280000","275454000000","363164000000","422365000000","485632000000","557610000000","650716000000","722466000000","817235000000","932966000000","1032169000000","1152706002000","1295390120000","1447845261000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 30 June","","Bangladesh Bureau of Statistics","For 2000–2015: Estimates of GDP at current prices used the 2005/2006 base year. For 2016–2023: Estimates of GDP at current prices were rebased using the 2015/2016 base year, reflecting more comprehensive coverage of economic activities and methodological changes."
"Financial and insurance activities at current prices","Bhutan","Bhutanese Ngultrum","816801798.8","951315740.8","904250766.6","1102085842","1372820251","1942477378","2462187579","3007121247","3407291819","3720569242","4280284560","5513794290","5780116879","6205317924","6935364342","7412016466","8129842581","8528784920","9321290605","10623704180","10015621960","11433537900","11908244940","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Statistics Bureau",""
"Financial and insurance activities at current prices","Brunei Darussalam","Brunei Dollar","322667630","347796420","352223330","355058100","375425310","472288680","552800000","579000000","593200000","573800000","759571560","793867090","863940160","911623280","904447460","923970930","1010681610","1020910330","927998830","989452350","927537060","935331490","994683470","1283177770","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Department of Economic Planning and Statistics",""
"Financial and insurance activities at current prices","Cambodia","Kampuchean Riel","175065070000","152505340000","169715390000","184113810000","232307640000","294134140000","377635910000","490637830000","549514370000","594090980000","670134620000","796916660000","922679400000","1014229960000","1253249930000","1389144050000","1555629410000","1741353360000","1949250580000","2148239414000","2246357736000","2348957498000","2482233353000","2598248720000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Institute of Statistics",""
"Financial and insurance activities at current prices","China, People's Republic of","Chinese Yuan","484220000000","520280000000","555580000000","604570000000","660020000000","748600000000","997230000000","1520000000000","1834560000000","2183680000000","2573310000000","3074720000000","3527220000000","4129340000000","4685340000000","5629980000000","5996400000000","6484430000000","7061030000000","7625060000000","8361770000000","9030870000000","9328530000000","10067660000000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","National Bureau of Statistics",""
"Financial and insurance activities at current prices","Cook Islands","New Zealand Dollar","23870158.05","28929957.42","29570584.8","28454918.01","29203535.47","31886072.01","22300111.35","23567550.62","29234678.51","35041473.32","29736504.99","28136317.76","27927074.08","27368980.61","25478460.86","27429439.5763","33936882.911439","31722242.339855","31404228.229752","35546676.72771","29245044.43","32638954.94","16691879.218298","57237307.481955","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Cook Islands Statistics Office","For 2000–2005: Includes professional, scientific, and technical activities, and administrative and support service activities. For 2006–2023: Taxes on products are measured separately from GDP components."
"Financial and insurance activities at current prices","Fiji","Fijian Dollar","414600000","441600000","443200000","429600000","443700000","743058000","729812000","457978000","582500000","563200000","573400000","528744678.1","528369941.7","558003854.4","737715535","747202950.6","735230020.3","779212055.3","786182660.8","826679311.9","799329709.1","791700000","888100000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Bureau of Statistics","For 2000: Includes real estate activities, professional, scientific, and technical activities, and administrative and support service activities. For 2005, 2008, 2011, and 2014: Figures are current basic prices."
"Financial and insurance activities at current prices","Georgia","Georgian Lari","88337660","93746380","108462610","126009510","130285110","231677660","292797700","368216090","442049820","452701040","1012000000","1082000000","1295000000","1418000000","1514000000","1632000000","1622000000","1915000000","2160000000","2063000000","2089000000","2619000000","3151000000","3628000000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Ending 31 December","","National Statistics Office (formerly Department of Statistics)","For 2010–2023: GeoStat revised the data of Gross Domestic Product (GDP) and National Accounts on February 2024. Data revision includes the historical series since 2010.  The base year  was changed from 2015 to 2019."
"Financial and insurance activities at current prices","Hong Kong, China","Hong Kong Dollar","164195000000","153787000000","154099000000","163267000000","168278000000","189741000000","245954000000","322644000000","277112000000","255900000000","283752000000","305282000000","319312000000","346248000000","367989000000","409933000000","428903000000","480488000000","535126000000","581499000000","599797000000","583613000000","613477000000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Census and Statistics Department Hong Kong Special Administrative Region of PRC","For 2000–2022: The overall GDP level compiled using the expenditure approach is adopted as the single measure of GDP. The sum of value-added of respective economic activities at current basic prices plus taxes on products plus statistical discrepancy is equal to the GDP by expenditure component at current market prices."
"Financial and insurance activities at current prices","India","Indian Rupee","934520602100","1101468439000","1270643756000","1424961146000","1477182579000","1808512492000","2281069129000","2661103183000","3156141089000","3478187497000","4271023246000","4802260000000","5368190000000","5993410000000","6614110000000","7262860000000","7502010000000","8461941600000","9417779672000","10276357140000","10863707090000","11732395190000","14424848350000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Beginning 1 April","","National Statistical Office",""
"Financial and insurance activities at current prices","Indonesia","Indonesian Rupiah","64313700000000","75669700000000","81916800000000","89795400000000","96466900000000","1.106774E+14","1.244984E+14","1.406084E+14","1.700757E+14","1.84409E+14","2.397284E+14","2.705863E+14","3.205343E+14","3.701319E+14","4.084388E+14","4.643999E+14","5.202068E+14","5.712036E+14","6.163151E+14","6.714338E+14","6.960729E+14","7.361872E+14","8.093707E+14","8.691678E+14","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","BPS Statistics Indonesia","For 2010–2023: Data are based on the 2008 System of National Accounts. Base year was also changed from 2000 to 2010."
"Financial and insurance activities at current prices","Japan","Japanese Yen","26787900000000","29176600000000","31343600000000","32423300000000","32098400000000","32358000000000","31414500000000","31394300000000","26159300000000","24812400000000","24499400000000","23324200000000","22463700000000","23223600000000","22782800000000","23002300000000","22262900000000","22332000000000","22739300000000","22593800000000","22692900000000","23457200000000","25411900000000","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Economic and Social Research Institute",""
"Financial and insurance activities at current prices","Kazakhstan","Kazakhstani Tenge","80679300000","111502800000","130528300000","145847600000","172221900000","245775600000","475525900000","761616000000","848500400000","843974100000","792399500000","550503500000","655348000000","986543500000","1199418300000","1430703900000","1668758400000","2020521600000","2048002800000","2233384200000","2376245100000","2438216000000","3171635700000","3644912400000","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Agency for Strategic Planning and Reforms of the Republic of Kazakhstan","For 2011–2023: Estimates are in accordance with the 2008 System of National Accounts, where financial intermediation services indirectly measured are no longer compiled as a notional industry. For 2017–2023: Calculations were made in accordance with the new methodology for assessing the unobserved economy, registered in the Ministry of Justice of the Republic of Kazakhstan No.19215 of 08.08.2019."
"Financial and insurance activities at current prices","Kiribati","Australian Dollar","4781318.12","5455963.98","5236440.09","6948875.53","7835977.65","9827690.06","10636357.62","10049586.72","11505957.78","12233652.43","8665124","7829135.57","10210344.91","10694973.3075","12342508","14813520.28","13858177.48","16266982.75","15410010.13","14866821.37","13387799.09","14323042.87","14278395.81","...","...","Financial and insurance activities represents the economic activities of Section K Financial and insurance activities (see ISIC Rev 4).","From 2000 to 2024","Calendar Year","","Kiribati National Statistics Office",""
