STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,ACTIVITY,Economic activity,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CRI,Costa Rica,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,191.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CYP,Cyprus,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,51,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CZE,Czechia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1384.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,DEU,Germany,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,5501.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,DNK,Denmark,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,6409.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,EGY,Egypt,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,38159.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ESP,Spain,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2540.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,EST,Estonia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,257.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,FIN,Finland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1031.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,FRA,France,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2262.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,GBR,United Kingdom,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,28369.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,GRC,Greece,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,605.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HKG,Hong Kong (China),B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,55.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HRV,Croatia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,228.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,HUN,Hungary,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,405.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IDN,Indonesia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,81508.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IND,India,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,51394.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,IRL,Ireland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,582.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ISL,Iceland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,30.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ISR,Israel,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,3120.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ITA,Italy,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,4517.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,JOR,Jordan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,987.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,JPN,Japan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,3406.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KAZ,Kazakhstan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,26913.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KHM,Cambodia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,232.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,KOR,Korea,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1687.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LAO,Lao People’s Democratic Republic,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2237.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LTU,Lithuania,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,222.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LUX,Luxembourg,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,43.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,LVA,Latvia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,128.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MAR,Morocco,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2288.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MEX,Mexico,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,54655.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MLT,Malta,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,36,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MMR,Myanmar,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2955.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,MYS,Malaysia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,33503.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NGA,Nigeria,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,41868.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NLD,Netherlands,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,6176.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NOR,Norway,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,61585.5,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,NZL,New Zealand,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2522.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PAK,Pakistan,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,5549.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PER,Peru,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,20315,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PHL,Philippines,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,3630.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,POL,Poland,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,8855.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,PRT,Portugal,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,828.9,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ROU,Romania,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,2197.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,RUS,Russia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,197699.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SAU,Saudi Arabia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,219322.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SEN,Senegal,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,945.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SVK,Slovak Republic,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,393.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SVN,Slovenia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,162.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,SWE,Sweden,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,3843.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,THA,Thailand,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,13050.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,TUN,Tunisia,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1354.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,TUR,Türkiye,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,8845.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,TWN,Chinese Taipei,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,1409.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,UKR,Ukraine,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,8892.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,USA,United States,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,289708.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,VNM,Viet Nam,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,16497.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ZAF,South Africa,B,Mining and quarrying,W,World,USD,US dollar,A,Annual,2019,,23230,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,ARG,Argentina,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,14700.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,AUS,Australia,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,104444.7,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,AUT,Austria,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,17068.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BEL,Belgium,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,31781,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BGD,Bangladesh,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,11177.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BGR,Bulgaria,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,3960.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BLR,Belarus,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,2135.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BRA,Brazil,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,121982.6,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,BRN,Brunei Darussalam,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,752.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CAN,Canada,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,117051.1,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHE,Switzerland,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,68783.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHL,Chile,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,12743.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CHN,China (People’s Republic of),K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,1022621.2,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CIV,Côte d’Ivoire,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,756,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CMR,Cameroon,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,714.3,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,COL,Colombia,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,15234.4,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CRI,Costa Rica,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,3635.8,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_MAINLV@DF_MAINLV(1.0),"Trade in Value Added (TiVA) 2023 edition: Principal Indicators, levels",I,VALU,Value added,CYP,Cyprus,K,Financial and insurance activities,W,World,USD,US dollar,A,Annual,2019,,1877.7,,6,Millions
